Wilayah,Komposit,NCPR,Kemiskinan (%),Pengeluaran Pangan (%),Tanpa Listrik (%),Tanpa Air Bersih (%),Lama Sekolah Perempuan (tahun),Rasio Tenaga Kesehatan,Angka Kesakitan,Stunting (%),IKP,IKP Ranking,
aceh besar - kuta baro,6,0.20,14.89,42.73,0.01,29.67,9.50,53.10,13.91,28.78,80.29,44,
aceh besar - darussalam,6,0.67,5.32,13.58,0.00,3.97,11.12,38.82,10.93,30.63,85.32,3,
aceh besar - pulo aceh,5,0.41,26.42,62.61,0.00,41.00,8.43,100.00,13.18,27.24,72.45,176,
aceh besar - lembah seulawah,5,0.21,18.22,54.84,0.19,45.28,8.29,100.00,6.54,41.11,75.81,121,
aceh besar - kota jantho,5,0.17,19.30,37.10,0.00,55.95,8.38,100.00,14.76,28.66,72.68,170,
aceh besar - kota cot glie,4,0.10,19.22,70.70,0.13,79.83,8.37,100.00,14.61,33.03,69.01,207,
aceh besar - kuta malaka,6,0.14,12.06,62.93,0.00,17.14,8.80,39.34,10.68,33.33,84.47,5,
aceh besar - simpang tiga,6,0.12,5.47,65.12,0.00,43.07,9.86,38.32,8.32,10.28,84.03,11,
aceh besar - darul kamal,6,0.57,9.70,38.11,0.04,11.56,10.58,36.00,10.72,25.15,84.09,9,
aceh besar - baitussalam,3,5.00,5.31,18.90,0.00,4.49,10.27,31.10,11.65,21.36,59.75,241,
aceh besar - krueng barona jaya,3,5.00,8.63,35.72,0.00,32.67,10.47,8.59,12.31,27.78,55.16,247,
aceh besar - leupung,5,1.21,13.92,67.69,0.00,29.46,9.75,100.00,12.34,28.28,72.58,172,
aceh besar - blang bintang,5,0.15,14.06,11.94,0.00,60.24,10.64,56.43,14.45,19.89,76.30,114,
pidie - batee,4,1.30,23.15,62.75,1.64,29.98,6.26,100.00,16.33,6.82,68.78,209,
pidie - delima,5,0.37,27.89,42.20,0.08,28.32,7.28,40.31,15.60,26.59,76.63,107,
pidie - geumpang,6,0.27,17.80,60.31,0.44,5.25,7.60,100.00,8.62,49.54,80.63,36,
pidie - geulumpang tiga,6,0.20,12.29,40.46,0.02,25.49,8.23,71.22,21.40,16.98,79.09,59,
