Wilayah,Komposit,NCPR,Kemiskinan (%),Pengeluaran Pangan (%),Tanpa Listrik (%),Tanpa Air Bersih (%),Lama Sekolah Perempuan (tahun),Rasio Tenaga Kesehatan,Angka Kesakitan,Stunting (%),IKP,IKP Ranking,
kota banda aceh - meuraxa,6,0.00,1.98,12.74,0.00,13.49,11.11,18.15,13.46,14.58,83.89,5,
kota banda aceh - syiah kuala,6,0.00,2.34,9.15,0.18,11.67,11.32,23.74,13.69,6.30,85.40,4,
kota banda aceh - lueng bata,6,0.00,3.75,19.15,0.00,11.62,11.17,13.03,18.34,5.98,76.58,14,
kota banda aceh - kuta raja,6,0.00,4.16,27.79,0.00,3.65,10.48,16.81,13.25,11.73,81.58,7,
kota banda aceh - banda raya,6,0.00,2.77,11.66,0.00,9.26,10.58,10.64,18.37,9.15,78.75,11,
kota banda aceh - jaya baru,6,0.00,2.21,12.27,0.00,1.68,11.04,9.22,15.30,5.83,88.07,1,
kota banda aceh - ulee kareng,6,0.00,4.03,12.28,0.00,3.07,10.55,12.30,11.39,25.22,86.40,3,
kota sabang - sukakarya,6,0.00,6.13,23.64,0.00,8.77,10.83,0.34,15.23,6.25,79.48,9,
kota sabang - sukajaya,6,0.00,5.54,11.32,0.07,19.91,10.92,0.88,13.04,16.22,79.85,8,
kota lhokseumawe - muara dua,5,0.00,9.20,24.46,0.00,13.00,10.32,23.88,16.63,10.13,69.48,15,
kota lhokseumawe - banda sakti,6,0.00,11.61,15.40,0.03,4.64,10.87,2.60,14.95,7.05,78.81,10,
kota lhokseumawe - blang mangat,4,0.00,25.48,27.86,0.25,24.77,9.61,26.22,15.11,8.74,50.40,22,
kota lhokseumawe - muara satu,5,0.00,14.11,29.87,0.00,23.49,9.39,27.27,10.10,24.18,64.80,17,
kota langsa - langsa timur,5,0.00,24.45,23.45,0.07,7.38,9.52,76.70,13.78,3.06,59.31,20,
kota langsa - langsa barat,5,0.00,14.97,20.26,0.01,5.34,9.58,35.87,18.10,2.70,66.05,16,
kota langsa - langsa kota,6,0.00,9.52,14.03,0.00,10.28,11.22,2.78,16.70,4.75,77.49,12,
kota langsa - langsa lama,5,0.00,15.16,19.02,0.02,19.73,10.42,48.44,17.31,7.08,61.42,19,
kota langsa - langsa baro,6,0.00,6.06,11.89,0.03,11.24,11.09,48.95,16.51,1.94,77.27,13,
kota subulussalam - simpang kiri,5,0.00,5.08,19.55,0.77,28.21,9.78,41.93,14.01,21.57,61.87,18,
kota subulussalam - penanggalan,3,0.00,5.67,40.30,1.72,50.32,10.40,97.89,15.32,18.16,35.91,24,
kota subulussalam - rundeng,3,0.00,13.91,43.18,0.23,15.76,7.29,100.00,15.46,36.97,42.11,23,
kota subulussalam - sultan daulat,2,0.00,11.46,43.11,1.65,23.17,7.77,100.00,18.83,30.88,28.28,25,
kota subulussalam - longkib,4,0.00,5.96,53.95,0.28,7.10,6.61,100.00,12.41,18.64,55.93,21,
